connectionTime,dayOfMonth_c,dayOfWeek_c,monthOfYear_c,session_count_c
2019-01-29 13:00:00,29,1,1,1
2019-01-29 13:30:00,29,1,1,4
2019-01-29 14:00:00,29,1,1,8
2019-01-29 14:30:00,29,1,1,6
2019-01-29 15:00:00,29,1,1,16
2019-01-29 15:30:00,29,1,1,15
2019-01-29 17:30:00,29,1,1,1
2019-01-29 19:00:00,29,1,1,2
2019-01-29 19:30:00,29,1,1,2
2019-01-29 20:00:00,29,1,1,1
2019-01-29 22:00:00,29,1,1,3
2019-01-29 23:00:00,29,1,1,1
2019-01-29 23:30:00,29,1,1,4
2019-01-30 00:00:00,30,2,1,3
2019-01-30 00:30:00,30,2,1,2
2019-01-30 01:30:00,30,2,1,1
2019-01-30 13:30:00,30,2,1,6
2019-01-30 14:00:00,30,2,1,9
2019-01-30 14:30:00,30,2,1,8
2019-01-30 15:00:00,30,2,1,13
2019-01-30 15:30:00,30,2,1,14
2019-01-30 16:30:00,30,2,1,1
2019-01-30 20:00:00,30,2,1,4
2019-01-30 20:30:00,30,2,1,2
2019-01-30 22:00:00,30,2,1,1
2019-01-30 23:00:00,30,2,1,1
2019-01-30 23:30:00,30,2,1,2
2019-01-31 00:00:00,31,3,1,2
2019-01-31 00:30:00,31,3,1,1
2019-01-31 13:30:00,31,3,1,8
2019-01-31 14:00:00,31,3,1,9
2019-01-31 14:30:00,31,3,1,10
2019-01-31 15:00:00,31,3,1,14
2019-01-31 15:30:00,31,3,1,10
2019-01-31 17:30:00,31,3,1,1
2019-01-31 18:30:00,31,3,1,1
2019-01-31 19:00:00,31,3,1,1
2019-01-31 20:00:00,31,3,1,2
2019-01-31 21:00:00,31,3,1,3
2019-01-31 22:00:00,31,3,1,1
2019-01-31 22:30:00,31,3,1,1
2019-01-31 23:00:00,31,3,1,1
2019-01-31 23:30:00,31,3,1,1
2019-02-01 00:00:00,1,4,2,2
2019-02-01 01:00:00,1,4,2,1
2019-02-01 02:00:00,1,4,2,1
2019-02-01 04:30:00,1,4,2,1
2019-02-01 07:30:00,1,4,2,1
2019-02-01 13:30:00,1,4,2,1
2019-02-01 14:30:00,1,4,2,2
2019-02-01 15:00:00,1,4,2,3
2019-02-01 15:30:00,1,4,2,4
2019-02-01 16:00:00,1,4,2,5
2019-02-01 16:30:00,1,4,2,4
2019-02-01 17:00:00,1,4,2,1
2019-02-01 17:30:00,1,4,2,3
2019-02-01 18:00:00,1,4,2,3
2019-02-01 18:30:00,1,4,2,2
2019-02-01 19:00:00,1,4,2,1
2019-02-01 19:30:00,1,4,2,2
2019-02-01 20:00:00,1,4,2,2
2019-02-01 20:30:00,1,4,2,3
2019-02-01 21:00:00,1,4,2,2
2019-02-01 22:00:00,1,4,2,1
2019-02-01 23:30:00,1,4,2,1
2019-02-02 17:30:00,2,5,2,1
2019-02-02 19:30:00,2,5,2,1
2019-02-03 16:30:00,3,6,2,1
2019-02-04 12:30:00,4,0,2,1
2019-02-04 13:30:00,4,0,2,4
2019-02-04 14:00:00,4,0,2,11
2019-02-04 14:30:00,4,0,2,11
2019-02-04 15:00:00,4,0,2,11
2019-02-04 15:30:00,4,0,2,14
2019-02-04 18:30:00,4,0,2,2
2019-02-04 19:30:00,4,0,2,1
2019-02-04 20:30:00,4,0,2,1
2019-02-04 21:00:00,4,0,2,2
2019-02-04 22:00:00,4,0,2,1
2019-02-04 23:00:00,4,0,2,2
2019-02-05 00:00:00,5,1,2,6
2019-02-05 01:00:00,5,1,2,1
2019-02-05 02:00:00,5,1,2,1
2019-02-05 13:00:00,5,1,2,1
2019-02-05 13:30:00,5,1,2,4
2019-02-05 14:00:00,5,1,2,7
2019-02-05 14:30:00,5,1,2,14
2019-02-05 15:00:00,5,1,2,15
2019-02-05 15:30:00,5,1,2,12
2019-02-05 19:30:00,5,1,2,1
2019-02-05 22:00:00,5,1,2,2
2019-02-05 22:30:00,5,1,2,1
2019-02-05 23:30:00,5,1,2,2
2019-02-06 00:00:00,6,2,2,2
2019-02-06 00:30:00,6,2,2,1
2019-02-06 13:30:00,6,2,2,3
2019-02-06 14:00:00,6,2,2,5
2019-02-06 14:30:00,6,2,2,8
2019-02-06 15:00:00,6,2,2,20
2019-02-06 15:30:00,6,2,2,15
2019-02-06 16:30:00,6,2,2,1
2019-02-06 19:00:00,6,2,2,1
2019-02-06 19:30:00,6,2,2,3
2019-02-06 20:00:00,6,2,2,2
2019-02-06 20:30:00,6,2,2,2
